"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","MOBILE","HIRE_DATE","MANAGER_ID","JOB_TITLE","NRIC","SALARY"
"68","Matilda","Stevens","matilda.stevens@example.com","99847592","21-APR-16","48","Sales Representative","S7238726V","14751"
"69","Evelyn","Tucker","evelyn.tucker@example.com","96669130","11-MAR-16","49","Sales Representative","S8991513S","4308"
"70","Eva","Porter","eva.porter@example.com","91643172","23-MAR-16","49","Sales Representative","S3831703U","16475"
"71","Millie","Hunter","millie.hunter@example.com","97949228","24-JAN-16","49","Sales Representative","S2975501L","10102"
"72","Sofia","Hicks","sofia.hicks@example.com","91821768","23-FEB-16","49","Sales Representative","S1885655Z","9589"
"73","Lucy","Crawford","lucy.crawford@example.com","98221882","24-MAR-16","49","Sales Representative","S2778051Z","15930"
"74","Elsie","Henry","elsie.henry@example.com","96871925","21-APR-16","49","Sales Representative","S4625129S","16985"
"75","Imogen","Boyd","imogen.boyd@example.com","95531432","11-MAY-16","50","Sales Representative","S1775369Y","12357"
"76","Layla","Mason","layla.mason@example.com","97011033","19-MAR-16","50","Sales Representative","S2511611D","6575"
"77","Rosie","Morales","rosie.morales@example.com","94191624","24-MAR-16","50","Sales Representative","S2632132T","10686"
"78","Maya","Kennedy","maya.kennedy@example.com","97783193","23-APR-16","50","Sales Representative","S3002671Q","7848"
"79","Esme","Warren","esme.warren@example.com","92140420","24-MAY-16","50","Sales Representative","S6436930Y","16979"
"55","Grace","Ellis","grace.ellis@example.com","97079005","09-DEC-16","46","Sales Representative","S1307829A","10349"
"54","Lily","Fisher","lily.fisher@example.com","98565629","30-MAR-16","46","Sales Representative","S2008640H","12839"
"53","Sophia","Reynolds","sophia.reynolds@example.com","96027265","20-AUG-16","46","Sales Representative","S7275629K","5024"
"52","Sophie","Owens","sophie.owens@example.com","99173813","24-MAR-16","46","Sales Representative","S1159102O","5631"
"51","Poppy","Jordan","poppy.jordan@example.com","92340332","30-JAN-16","46","Sales Representative","S2217163F","6331"
"63","Phoebe","Murray","phoebe.murray@example.com","99408692","11-NOV-16","48","Sales Representative","S8539797S","4159"
"85","Holly","Shaw","holly.shaw@example.com","91470553","27-JAN-16","22","Shipping Clerk","S2813304O","13927"
"86","Emilia","Holmes","emilia.holmes@example.com","92388281","20-FEB-16","22","Shipping Clerk","S5691759X","7122"
"87","Molly","Rice","molly.rice@example.com","99120888","24-JUN-16","22","Shipping Clerk","S5290375M","19172"
"88","Ellie","Robertson","ellie.robertson@example.com","99051657","07-FEB-16","22","Shipping Clerk","S6112402M","15003"
"89","Jasmine","Hunt","jasmine.hunt@example.com","99588179","14-JUN-16","23","Shipping Clerk","S6020614N","11248"
"90","Eliza","Black","eliza.black@example.com","97617796","13-AUG-16","23","Shipping Clerk","S2804351I","10136"
"91","Lilly","Daniels","lilly.daniels@example.com","95310859","11-JUL-16","23","Shipping Clerk","S5442256T","7579"
"92","Abigail","Palmer","abigail.palmer@example.com","91469032","19-DEC-16","23","Shipping Clerk","S7951794W","19229"
"93","Georgia","Mills","georgia.mills@example.com","99451765","04-FEB-16","24","Shipping Clerk","S2724668T","14195"
"94","Maisie","Nichols","maisie.nichols@example.com","90531950","03-MAR-16","24","Shipping Clerk","S2236660H","9405"
"95","Eleanor","Grant","eleanor.grant@example.com","90319265","01-JUL-16","24","Shipping Clerk","S7222052X","10816"
"96","Hannah","Knight","hannah.knight@oracle.com","94408378","17-MAR-16","25","Shipping Clerk","S6121374M","11765"
"97","Harriet","Ferguson","harriet.ferguson@example.com","91952184","24-APR-16","25","Shipping Clerk","S5028437W","13648"
"98","Amber","Rose","amber.rose@example.com","90757373","23-MAY-16","25","Shipping Clerk","S5565486K","15035"
"99","Bella","Stone","bella.stone@example.com","97302997","21-JUN-16","25","Shipping Clerk","S5816290D","16673"
"100","Thea","Hawkins","thea.hawkins@example.com","95491171","13-JAN-16","25","Shipping Clerk","S4428934Q","13231"
"81","Lola","Ramos","lola.ramos@example.com","98084530","24-JAN-16","21","Shipping Clerk","S7107950F","16759"
"82","Willow","Reyes","willow.reyes@example.com","98349517","23-FEB-16","21","Shipping Clerk","S4512387K","12100"
"83","Ivy","Burns","ivy.burns@example.com","92658901","21-JUN-16","21","Shipping Clerk","S3178483X","15288"
"84","Erin","Gordon","erin.gordon@example.com","92676613","03-FEB-16","21","Shipping Clerk","S3582504V","17744"
"33","Reggie","Simmons","reggie.simmons@example.com","98994169","10-APR-16","22","Stock Clerk","S7671068D","12524"
"44","Emily","Hamilton","emily.hamilton@example.com","95951752","15-MAR-16","25","Stock Clerk","S4397994A","7881"
"43","Olivia","Ford","olivia.ford@example.com","93741254","29-JAN-16","25","Stock Clerk","S3854538P","16418"
"42","Amelia","Myers","amelia.myers@example.com","98709398","17-OCT-16","25","Stock Clerk","S1269149K","13198"
"41","Connor","Hayes","connor.hayes@example.com","98247208","06-APR-16","24","Stock Clerk","S6182252E","15371"
"26","Leon","Powell","leon.powell@example.com","96470783","16-JUL-16","21","Stock Clerk","S1102744L","4221"
"27","Kai","Long","kai.long@example.com","94078724","28-SEP-16","21","Stock Clerk","S3184019K","6233"
"28","Aaron","Patterson","aaron.patterson@example.com","96126925","14-JAN-16","21","Stock Clerk","S8169505Q","13061"
"29","Roman","Hughes","roman.hughes@example.com","90458609","08-MAR-16","21","Stock Clerk","S2840983P","11713"
"30","Austin","Flores","austin.flores@example.com","92375481","20-AUG-16","22","Stock Clerk","S2352283S","11828"
"31","Ellis","Washington","ellis.washington@example.com","90672056","30-OCT-16","22","Stock Clerk","S6185181N","5416"
"32","Jamie","Butler","jamie.butler@example.com","91052588","16-FEB-16","22","Stock Clerk","S8335855G","10827"
"45","Isla","Graham","isla.graham@example.com","95986672","09-JUL-16","25","Stock Clerk","S2944169A","10876"
"34","Seth","Foster","seth.foster@example.com","93460141","14-JUN-16","23","Stock Clerk","S6237125T","11841"
"35","Carter","Gonzales","carter.gonzales@example.com","98538051","26-AUG-16","23","Stock Clerk","S2305381O","18492"
"36","Felix","Bryant","felix.bryant@example.com","92036591","12-DEC-16","23","Stock Clerk","S8645303K","13503"
"37","Ibrahim","Alexander","ibrahim.alexander@example.com","92337432","06-FEB-16","23","Stock Clerk","S7848480E","10818"
"38","Sonny","Russell","sonny.russell@example.com","90381028","14-JUL-16","24","Stock Clerk","S6981942X","14780"
"39","Kian","Griffin","kian.griffin@example.com","96224222","26-OCT-16","24","Stock Clerk","S5146448R","11080"
"40","Caleb","Diaz","caleb.diaz@example.com","91932044","12-FEB-16","24","Stock Clerk","S8525092C","15193"
"25","Ronnie","Perry","ronnie.perry@example.com","95818576","16-NOV-16","1","Stock Manager","S3532695U","14741"
"24","Callum","Jenkins","callum.jenkins@example.com","94920822","10-OCT-16","1","Stock Manager","S6166441K","11921"
"23","Jackson","Coleman","jackson.coleman@example.com","96854888","01-MAY-16","1","Stock Manager","S6642519D","4704"
"22","Liam","Henderson","liam.henderson@example.com","90575277","10-APR-16","1","Stock Manager","S4532055Q","7305"
"21","Jaxon","Ross","jaxon.ross@example.com","91270335","18-JUL-16","1","Stock Manager","S3703279Q","4079"
